Disciplina,Periodo,Registro,Sexo,Programa
"CAP200 - Matemática Concreta e Estruturas Algébricas",200301,VUNW9KG1WM/2001,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200301,GRAAI517PC/2003,Feminino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200301,DC6B9IBPDQ/2002,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200301,8U3C0NO5SS/2003,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200301,DB4X07IRT0/2003,Feminino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200301,Y1ZX0ZXU3O/2003,Feminino,ISOLADA
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,TPCC03U54S/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,WG94I2SQI8/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,EWCJIKVI7C/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,TSE6RDIY4Q/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,44ZGI73O0G/2005,Feminino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,LPQW94U8SM/2005,Feminino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,QT0596BP5A/2004,Feminino,ISOLADA
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,X8O30GW904/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,0LSJIXHOQ0/2005,Feminino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,AFF609AHKC/2005,Masculino,ISOLADA
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,AFF609AHKC/2006,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,55KAIV04G0/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,5RRYICMYSG/2005,Masculino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,OG8Q9SA2C6/2005,Feminino,PGCAP
"CAP200 - Matemática Concreta e Estruturas Algébricas",200501,YHQ60D1D1O/2005,Masculino,PGCAP
